land_runway_papi_takistan,0 0 20000 0 0 0 0,Incoming,
land_runway_papi_2_takistan,0 0 20000 0 0 0 1,Incoming,
land_runway_papi_3_takistan,0 0 20000 0 0 0 2,Incoming,
land_runway_papi_4_takistan,0 0 20000 0 0 0 3,Incoming,
vbs_ammo_d_mk11_depthcharge,0 0 20000 0 0 0 4,Incoming,
m119,1 1 20000 0 0 0 0,Incoming,
dshkm,1 1 20000 0 0 0 1,Incoming,
vulcan_racs,1 1 20000 0 0 0 10,Incoming,
bmp2,1 1 20000 0 0 0 11,Incoming,
bmp2ambul,1 1 20000 0 0 0 12,Incoming,
t72,1 1 20000 0 0 0 13,Incoming,
zsu,1 1 20000 0 0 0 14,Incoming,
vbs_op_army_sa15_grn_x,1 1 20000 0 0 0 149,Incoming,
vbs_op_army_sa15_des_x,1 1 20000 0 0 0 150,Incoming,
vbs2_opfor_army_tunguska_w_x,1 1 20000 0 0 0 151,Incoming,
vbs2_opfor_army_tunguska_d_x,1 1 20000 0 0 0 152,Incoming,
vbs_se_army_bgbv120_w_x,1 1 20000 0 0 0 153,Incoming,
vbs_se_army_bgbv120_d_x,1 1 20000 0 0 0 154,Incoming,
vbs_se_army_bgbv120_s_x,1 1 20000 0 0 0 155,Incoming,
vbs_se_army_bgbv120_un_x,1 1 20000 0 0 0 156,Incoming,
vbs_se_army_strv122b_w_x,1 1 20000 0 0 0 157,Incoming,
vbs_se_army_strv122b_d_x,1 1 20000 0 0 0 158,Incoming,
vbs_se_army_strv122b_s_x,1 1 20000 0 0 0 159,Incoming,
vbs_se_army_strv122b_un_x,1 1 20000 0 0 0 160,Incoming,
vbs2_opfor_army_bmp3_w_x,1 1 20000 0 0 0 161,Incoming,
vbs2_opfor_army_bmp3_d_x,1 1 20000 0 0 0 162,Incoming,
vbs_kp_army_t55_grn_x,1 1 20000 0 0 0 163,Incoming,
vbs_kp_army_t62_grn_x,1 1 20000 0 0 0 164,Incoming,
vbs_opfor_2s19_grn_x,1 1 20000 0 0 0 165,Incoming,
vbs_opfor_2s19_des_x,1 1 20000 0 0 0 166,Incoming,
vbs_opfor_2s1_grn_x,1 1 20000 0 0 0 167,Incoming,
vbs_opfor_2s1_des_x,1 1 20000 0 0 0 168,Incoming,
vbs_op_army_brem1_des_x,1 1 20000 0 0 0 169,Incoming,
vbs_op_army_brem1_grn_x,1 1 20000 0 0 0 170,Incoming,
vbs_op_army_imr2_grn_x,1 1 20000 0 0 0 171,Incoming,
vbs_op_army_imr2_tan_x,1 1 20000 0 0 0 172,Incoming,
vbs_op_army_mtu72_grn_x,1 1 20000 0 0 0 173,Incoming,
vbs_op_army_mtu72_tan_x,1 1 20000 0 0 0 174,Incoming,
vbs2_opfor_army_t90s_w_x,1 1 20000 0 0 0 175,Incoming,
vbs2_opfor_army_t90s_d_x,1 1 20000 0 0 0 176,Incoming,
vbs_opfor_bmd2_wdl_x,1 1 20000 0 0 0 177,Incoming,
vbs_opfor_bmd2_des_x,1 1 20000 0 0 0 178,Incoming,
vbs_op_army_bmd3_wdl_x,1 1 20000 0 0 0 179,Incoming,
vbs_op_army_bmd3_des_x,1 1 20000 0 0 0 180,Incoming,
vbs_op_army_2s25_wdl_x,1 1 20000 0 0 0 181,Incoming,
vbs_op_army_2s25_des_x,1 1 20000 0 0 0 182,Incoming,
vbs_op_army_2s9_grn_x,1 1 20000 0 0 0 183,Incoming,
vbs_op_army_2s9_tan_x,1 1 20000 0 0 0 184,Incoming,
vbs_op_army_btr_rd_wdl_x,1 1 20000 0 0 0 185,Incoming,
vbs_op_army_btr_rd_tan_x,1 1 20000 0 0 0 186,Incoming,
vbs_kp_army_zsu_23_4_grn_x,1 1 20000 0 0 0 187,Incoming,
